k,id_proceso,tipo_cna,institucion_cna,Acreditación Extendida,Total de Procesos,Gestión Institucional,Docencia de Pregrado,Investigación,Vinculación con el Medio,Docencia de Postgrado,Docencia y Resultados del Proceso de Formación,Gestión Estratégica y Recursos Institucionales,Aseguramiento Interno de la Calidad,"Investigación, Creación y/o Innovación",resultado,nivel,anios,desde,hasta,agencia,Decisión /Fecha Sesión,Decisión/Agencia,Decisión/Resultado Acreditacíón,Decisión/Años,Decisión/Fecha Vigencia Desde,Decisión/Fecha Vigencia Hasta,Reposición/Fecha Sesión,Reposición/Agencia,Reposición/Resultado,Reposición/Años,Reposición/Fecha Vigencia Desde,Reposición/Fecha Vigencia Hasta,Apelación/Fecha Sesión,Apelación/Agencia,Apelación/Resultado,Apelación/Años,Apelación/Fecha Vigencia Desde,Apelación/Fecha Vigencia Hasta,resultado_raw,en_proceso,rescatado,anio_acreditacion,marco,nivel_derivado,cubre
ACADEMIA DE CIENCIAS POLICIALES DE CARABINEROS,INST-00130-01-00,FUERZAS ARMADAS Y DE ORDEN,ACADEMIA DE CIENCIAS POLICIALES DE CARABINEROS,Si,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,AVANZADO,4,2022-05-04,2026-05-04,,04/05/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,04/05/2022,04/05/2026,,,,,,,,,,,,,ACREDITADA<br/> (EN PROCESO),True,True,2022,Ley 21.091,False,False
ACADEMIA DE GUERRA AEREA,INST-00144-01-00,FUERZAS ARMADAS Y DE ORDEN,ACADEMIA DE GUERRA AÉREA,No,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,AVANZADO,4,2023-07-20,2027-07-20,CNA-CHILE,20/07/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,20/07/2023,20/07/2027,,,,,,,,,,,,,ACREDITADA,False,False,2023,Ley 21.091,False,True
ACADEMIA DE GUERRA DEL EJERCITO,INST-00132-01-00,FUERZAS ARMADAS Y DE ORDEN,ACADEMIA DE GUERRA DEL EJÉRCITO,No,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,AVANZADO,5,2022-02-24,2027-02-24,CNA-CHILE,24/02/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,24/02/2022,24/02/2027,20/07/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACOGE,5,24/02/2022,24/02/2027,,,,,,,ACREDITADA,False,False,2022,Ley 21.091,False,True
ACADEMIA DE GUERRA NAVAL DE LA ARMADA,INST-00137-01-00,FUERZAS ARMADAS Y DE ORDEN,ACADEMIA DE GUERRA NAVAL DE LA ARMADA,No,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,AVANZADO,5,2022-08-24,2027-08-24,CNA-CHILE,24/08/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,24/08/2022,24/08/2027,,,,,,,,,,,,,ACREDITADA,False,False,2022,Ley 21.091,False,True
ACADEMIA NACIONAL DE ESTUDIOS POLITICOS Y ESTRATEGICOS,INST-00133-01-00,FUERZAS ARMADAS Y DE ORDEN,ACADEMIA NACIONAL DE ESTUDIOS POLÍTICOS Y ESTRATÉGICOS,Si,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,AVANZADO,4,2021-12-16,2025-12-16,,16/12/2021,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,16/12/2021,16/12/2025,,,,,,,,,,,,,ACREDITADA<br/> (EN PROCESO),True,True,2021,Ley 21.091,False,False
ACADEMIA POLITECNICA AERONAUTICA,INST-00145-01-00,FUERZAS ARMADAS Y DE ORDEN,ACADEMIA POLITÉCNICA AERONÁUTICA,No,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,AVANZADO,4,2023-06-15,2027-06-15,CNA-CHILE,15/06/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,15/06/2023,15/06/2027,,,,,,,,,,,,,ACREDITADA,False,False,2023,Ley 21.091,False,True
ACADEMIA POLITECNICA MILITAR,INST-00096-03-00,FUERZAS ARMADAS Y DE ORDEN,ACADEMIA POLITÉCNICA MILITAR,Si,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,AVANZADO,4,2021-10-13,2025-10-13,,13/10/2021,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,13/10/2021,13/10/2025,,,,,,,,,,,,,ACREDITADA<br/> (EN PROCESO),True,True,2021,Ley 21.091,False,False
ACADEMIA POLITECNICA NAVAL,INST-00087-04-00,FUERZAS ARMADAS Y DE ORDEN,ACADEMIA POLITÉCNICA NAVAL,No,,Si,Si,No,Si,No,No,No,No,No,ACREDITADA,AVANZADO,5,2023-10-11,2028-10-11,CNA-CHILE,11/10/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,11/10/2023,11/10/2028,,,,,,,,,,,,,ACREDITADA,False,False,2023,Ley 21.091,False,True
ACADEMIA SUPERIOR DE ESTUDIOS POLICIALES DE LA POLICIA DE INVESTIGACIONES DE CHILE,INST-00139-01-00,FUERZAS ARMADAS Y DE ORDEN,ACADEMIA SUPERIOR DE ESTUDIOS POLICIALES DE LA POLICÍA DE INVESTIGACIONES DE CHILE,No,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,AVANZADO,4,2023-02-24,2027-02-24,CNA-CHILE,24/02/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,24/02/2023,24/02/2027,,,,,,,,,,,,,ACREDITADA,False,False,2023,Ley 21.091,False,True
CFT ALPES,INST-00131-02-00,CENTRO DE FORMACIÓN TÉCNICA,CENTRO DE FORMACIÓN TÉCNICA ALPES,No,,No,No,No,No,No,Si,Si,Si,No,ACREDITADA,BÁSICO,3,2025-10-16,2028-10-16,CNA-CHILE,16/10/2025,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,3,16/10/2025,16/10/2028,,,,,,,,,,,,,ACREDITADA,False,False,2025,Ley 21.091,False,True
