propuesta,tipo,instituciones,programas,matricula,n_variantes,variantes,revisar,firma
MEDICINA INTERNA,Médica,20,21,886,1,MEDICINA INTERNA,,INTERNA MEDICINA
PEDIATRIA,Médica,13,15,421,1,PEDIATRIA,,PEDIATRIA
CIRUGIA GENERAL,Médica,14,15,387,1,CIRUGIA GENERAL,,CIRUGIA GENERAL
TRAUMATOLOGIA Y ORTOPEDIA,Médica,11,12,325,2,ORTOPEDIA Y TRAUMATOLOGIA | TRAUMATOLOGIA Y ORTOPEDIA,unió varias formas: confirmar que sean la misma,ORTOPEDIA TRAUMATOLOGIA
PSIQUIATRIA ADULTOS,Médica,13,13,312,4,PSIQUIATRIA ADULTO | PSIQUIATRIA ADULTOS | PSIQUIATRIA DE ADULTOS | PSIQUIATRIA DEL ADULTO,unió varias formas: confirmar que sean la misma,ADULTO PSIQUIATRIA
MEDICINA FAMILIAR,Médica,9,10,282,1,MEDICINA FAMILIAR,,FAMILIAR MEDICINA
OBSTETRICIA Y GINECOLOGIA,Médica,13,13,266,2,GINECOLOGIA Y OBSTETRICIA | OBSTETRICIA Y GINECOLOGIA,unió varias formas: confirmar que sean la misma,GINECOLOGIA OBSTETRICIA
ANESTESIOLOGIA Y REANIMACION,Médica,10,11,239,1,ANESTESIOLOGIA Y REANIMACION,,ANESTESIOLOGIA REANIMACION
MEDICINA DE URGENCIA,Médica,12,12,194,1,MEDICINA DE URGENCIA,,MEDICINA URGENCIA
ANESTESIOLOGIA,Médica,6,7,158,2,ANESTESIOLOGIA | DE ANESTESIOLOGIA,unió varias formas: confirmar que sean la misma,ANESTESIOLOGIA
NEUROLOGIA,Médica,4,4,131,1,NEUROLOGIA,,NEUROLOGIA
DERMATOLOGIA,Médica,5,5,104,1,DERMATOLOGIA,,DERMATOLOGIA
RADIOLOGIA,Médica,4,4,103,1,RADIOLOGIA,,RADIOLOGIA
PSIQUIATRIA INFANTIL Y DEL ADOLESCENTE,Médica,4,4,95,1,PSIQUIATRIA INFANTIL Y DEL ADOLESCENTE,,ADOLESCENTE INFANTIL PSIQUIATRIA
NEUROLOGIA ADULTO,Médica,9,9,89,4,NEUROLOGIA ADULTO | NEUROLOGIA ADULTOS | NEUROLOGIA DE ADULTOS | NEUROLOGIA DEL ADULTO,unió varias formas: confirmar que sean la misma,ADULTO NEUROLOGIA
UROLOGIA,Médica,8,8,87,1,UROLOGIA,,UROLOGIA
OFTALMOLOGIA,Médica,6,6,81,1,OFTALMOLOGIA,,OFTALMOLOGIA
OTORRINOLARINGOLOGIA,Médica,6,6,79,1,OTORRINOLARINGOLOGIA,,OTORRINOLARINGOLOGIA
ANATOMIA PATOLOGICA,Médica,8,8,77,1,ANATOMIA PATOLOGICA,,ANATOMIA PATOLOGICA
NEUROCIRUGIA,Médica,7,7,75,1,NEUROCIRUGIA,,NEUROCIRUGIA
GERIATRIA,Médica,3,3,72,1,GERIATRIA,,GERIATRIA
IMAGENOLOGIA,Médica,4,5,70,1,IMAGENOLOGIA,,IMAGENOLOGIA
TRASTORNOS TEMPOROMANDIBULARES Y DOLOR OROFACIAL,Médica,5,5,63,1,TRASTORNOS TEMPOROMANDIBULARES Y DOLOR OROFACIAL,,DOLOR OROFACIAL TEMPOROMANDIBULAR TRASTORNO
NEUROLOGIA PEDIATRICA,Médica,3,3,59,1,NEUROLOGIA PEDIATRICA,,NEUROLOGIA PEDIATRICA
CIRUGIA PEDIATRICA,Médica,6,6,57,1,CIRUGIA PEDIATRICA,,CIRUGIA PEDIATRICA
TRAUMATOLOGIA Y ORTOPEDIA ADULTOS,Médica,1,1,49,1,TRAUMATOLOGIA Y ORTOPEDIA ADULTOS,una sola institución: puede ser un duplicado sin unir,ADULTO ORTOPEDIA TRAUMATOLOGIA
MEDICINA GENERAL FAMILIAR,Médica,1,1,49,1,MEDICINA GENERAL FAMILIAR,una sola institución: puede ser un duplicado sin unir,FAMILIAR GENERAL MEDICINA
MEDICINA INTENSIVA DEL ADULTO,Médica,2,2,48,1,MEDICINA INTENSIVA DEL ADULTO,,ADULTO INTENSIVA MEDICINA
PSIQUIATRIA,Médica,3,3,46,1,PSIQUIATRIA,,PSIQUIATRIA
MEDICINA FISICA Y REHABILITACION,Médica,3,3,45,1,MEDICINA FISICA Y REHABILITACION,,FISICA MEDICINA REHABILITACION
PEDIATRIA GENERAL,Médica,3,3,44,1,PEDIATRIA GENERAL,,GENERAL PEDIATRIA
FORMACION ESPECIALISTAS EN MEDICINA FAMILIAR Y COMUNITARIA,Médica,1,1,43,1,FORMACION ESPECIALISTAS EN MEDICINA FAMILIAR Y COMUNITARIA,quedan palabras administrativas,COMUNITARIA ESPECIALISTA FAMILIAR FORMACION MEDICINA
RADIOLOGIA E IMAGENOLOGIA,Médica,4,4,38,2,RADIOLOGIA E IMAGENOLOGIA | RADIOLOGIA IMAGENOLOGIA,unió varias formas: confirmar que sean la misma,IMAGENOLOGIA RADIOLOGIA
ONCOLOGIA MEDICA,Médica,4,4,38,1,ONCOLOGIA MEDICA,,MEDICA ONCOLOGIA
PSIQUIATRIA ADULTA,Médica,1,2,37,1,PSIQUIATRIA ADULTA,una sola institución: puede ser un duplicado sin unir,ADULTA PSIQUIATRIA
CARDIOLOGIA,Médica,3,3,35,1,CARDIOLOGIA,,CARDIOLOGIA
PSIQUIATRIA Y SALUD MENTAL,Médica,1,1,35,1,PSIQUIATRIA Y SALUD MENTAL,una sola institución: puede ser un duplicado sin unir,MENTAL PSIQUIATRIA SALUD
PSIQUIATRIA DEL NINO Y DEL ADOLESCENTE,Médica,3,3,34,1,PSIQUIATRIA DEL NINO Y DEL ADOLESCENTE,,ADOLESCENTE NINO PSIQUIATRIA
MEDICO ESPECIALISTA EN CIRUGIA GENERAL,Médica,1,1,34,1,MEDICO ESPECIALISTA EN CIRUGIA GENERAL,quedan palabras administrativas,CIRUGIA ESPECIALISTA GENERAL MEDICO
FISIATRIA,Médica,1,1,34,1,FISIATRIA,una sola institución: puede ser un duplicado sin unir,FISIATRIA
CIRUGIA,Médica,2,2,33,1,CIRUGIA,,CIRUGIA
MEDICINA DEL DEPORTE Y LA ACTIVIDAD FISICA,Médica,2,2,31,1,MEDICINA DEL DEPORTE Y LA ACTIVIDAD FISICA,,ACTIVIDAD DEPORTE FISICA MEDICINA
SUBESPECIALIDAD MEDICA EN MEDICINA INTENSIVA DEL ADULTO,Médica,2,2,29,2,DE SUBESPECIALIDAD MEDICA EN MEDICINA INTENSIVA DEL ADULTO | SUBESPECIALIDAD MEDICA EN MEDICINA INTENSIVA DEL ADULTO,unió varias formas: confirmar que sean la misma,ADULTO INTENSIVA MEDICA MEDICINA SUBESPECIALIDAD
GASTROENTEROLOGIA,Médica,2,2,29,1,GASTROENTEROLOGIA,,GASTROENTEROLOGIA
TRAUMATOLOGIA Y ORTOPEDIA INFANTIL,Médica,2,2,29,2,ORTOPEDIA Y TRAUMATOLOGIA INFANTIL | TRAUMATOLOGIA Y ORTOPEDIA INFANTIL,unió varias formas: confirmar que sean la misma,INFANTIL ORTOPEDIA TRAUMATOLOGIA
MEDICINA FAMILIAR COMUNITARIA,Médica,2,2,28,2,MEDICINA FAMILIAR COMUNITARIA | MEDICINA FAMILIAR Y COMUNITARIA,unió varias formas: confirmar que sean la misma,COMUNITARIA FAMILIAR MEDICINA
